id,pessoa_profile_id,lider_profile_id,data_inicial,data_final,fim_aquisitivo,inicio_periodo_gozo,fim_periodo_gozo,status_periodo,classificacao,saldo_dias,dias_usufruidos,total_dias_solicitados,total_dias_vendidos,tipo_contrato,observacoes,created_at,updated_at
092e2a6b-f55c-46b9-8a86-d672294d9da0,,,2022-12-22,,2023-12-21,2023-12-22,2024-12-21,ativo,Não Ativo,0,20,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
d4b9406d-78c9-4055-92f2-bed642c5263a,,,2023-12-22,,2024-12-21,2024-12-22,2025-12-21,ativo,Não Ativo,-16,46,46,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
e6850b95-771d-4172-b85d-8ce49ff7c6f7,,,2019-01-11,,2019-12-25,2020-01-11,2021-01-10,Não Ativo,Não Ativo,-1,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
77db2537-0d6e-4c91-b722-7fd2e31fc0bc,,,2019-12-26,,2020-12-25,2020-12-26,2021-12-25,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
c77aa179-f3d1-4a78-b780-a1123bf5daa8,,,2020-12-26,,2021-12-25,2021-12-26,2022-12-25,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
d357fe52-c611-4369-8022-06e00593312b,,,2021-12-26,,2022-12-25,2022-12-26,2023-12-25,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
0035fe1d-5109-4b5d-be6e-2cc5e2d1011b,,,2022-12-26,,2023-12-25,2023-12-26,2024-12-25,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
5a8d2f0f-1ad3-4796-983d-11457bb84bfc,,,2023-12-26,,2024-12-25,2024-12-26,2025-12-25,ativo,Não Ativo,20,10,10,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
bf29842e-b5fc-4efb-87f7-2b9515425186,,,2020-11-10,,2021-11-09,2021-11-10,2022-11-09,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
b8887abb-4355-4761-9518-92518ec34db7,,,2021-11-10,,2022-11-09,2022-11-10,2023-11-09,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
b3cfb3ce-f373-4c5b-bbe0-649e8ee33a01,,,2022-11-10,,2023-11-09,2023-11-10,2024-11-09,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
6974693d-e373-4019-b9f5-f07369d6675b,,,2023-11-10,,2024-11-09,2024-11-10,2025-11-09,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
391eb25f-c393-40d8-869b-9ea14e8c4157,,,2022-09-06,,2023-09-05,2023-09-06,2024-09-05,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
126ce64f-d081-43ba-a1ee-723c94b29b56,,,2023-09-06,,2024-09-05,2024-09-06,2025-09-05,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
eb0bbe34-0669-40a0-a67e-b20af16c0777,,,2021-12-22,,2022-12-21,2022-12-22,2023-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
ed3651d3-ab83-44db-abf4-15eb30931d2d,,,2022-12-22,,2023-12-21,2023-12-22,2024-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
cabde409-dffd-4f8e-acb7-b0513555ee3a,,,2023-12-22,,2024-12-21,2024-12-22,2025-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
de952b9a-2e2c-4986-8396-fa4e186d991a,,,2021-09-08,,2021-12-21,2022-09-08,2023-09-07,Não Ativo,Não Ativo,0,8,8,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
d45d9c91-fd51-4be3-9e32-ea4558c759df,,,2021-12-22,,2022-12-21,2022-12-22,2023-12-21,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
38e1c282-149e-42e1-98f5-f0e604c9656a,,,2022-12-22,,2023-12-21,2023-12-22,2024-12-21,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
f1cf5c6f-35d2-477c-8ba4-e36d00e8f428,,,2023-12-22,,2024-12-21,2024-12-22,2025-12-21,ativo,Não Ativo,22,8,8,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
4d04ef06-66f7-41a4-9c75-6d21f2c780e4,,,2021-01-12,,2021-12-21,2022-01-12,2023-01-11,Não Ativo,Não Ativo,0,28,28,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
813506c8-e9ab-4e68-8422-9802b6cd7cfb,,,2021-12-22,,2022-12-21,2022-12-22,2023-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
03f9949a-8fa2-4aad-8647-ba3623172568,,,2022-12-22,,2023-12-21,2023-12-22,2024-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
ab465ebb-207f-4c76-8377-ac5d98110fcb,,,2023-12-22,,2024-12-21,2024-12-22,2025-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
0165bff3-5f6a-45e0-b1eb-ef67d909bfa8,,,2022-09-20,,2023-09-19,2023-09-20,2024-09-19,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
a7e8e30b-db8a-4cd0-94cb-7f513e5e374c,,,2023-09-20,,2024-09-19,2024-09-20,2025-09-19,ativo,Não Ativo,30,0,0,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
ed0dbd00-aacd-4ed8-b6c0-bb06e4dd965c,,,2020-11-24,,2021-11-23,2021-11-24,2022-11-23,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
dfe246f8-5d76-4f4b-a1af-422c3a6efd69,,,2021-11-24,,2022-11-23,2022-11-24,2023-11-23,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
32e71e55-1f42-45bb-98d8-d1328d8ae256,,,2022-11-24,,2023-11-23,2023-11-24,2024-11-23,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
6142b5e8-b78e-4206-8830-888cb35a4da8,,,2023-11-24,,2024-11-23,2024-11-24,2025-11-23,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
8fc0ff4d-3ef9-4fd6-9497-a09e7cfcfecd,,,2021-02-02,,2021-12-21,2022-02-02,2023-02-01,Não Ativo,Não Ativo,-2,28,28,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
514c9cf0-fcb1-48e1-b70d-9ed125827b30,,,2021-12-22,,2022-12-21,2022-12-22,2023-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
89342ad3-3735-4401-bd28-af00e8df7cdd,,,2022-12-22,,2023-12-21,2023-12-22,2024-12-21,ativo,Não Ativo,0,27,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
5c4e3dbc-da04-4f4d-845d-0f85b4c213a3,,,2023-12-22,,2024-12-21,2024-12-22,2025-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
5986ab0f-d6a8-4fde-8247-b0820cb478c9,,,2023-11-28,,2024-11-27,2024-11-28,2025-11-27,ativo,Não Ativo,30,0,0,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
7eb705d6-4b6f-4b37-8934-f664810040b2,,,2023-08-22,,2024-08-21,2024-08-22,2025-08-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
8cfc6917-630a-42b5-9cb5-d837c2f279a1,,,2020-11-24,,2021-11-23,2021-11-24,2022-11-23,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
32535d91-5aad-4b5c-97d4-d02a925205ec,,,2021-11-24,,2022-11-23,2022-11-24,2023-11-23,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
5c386c27-2683-421b-8616-c1ca03ec3503,,,2022-11-24,,2023-11-23,2023-11-24,2024-11-23,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
2cc56624-cbe3-42ee-bdb0-293ab58a1f29,,,2023-11-24,,2024-11-23,2024-11-24,2025-11-23,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
d0dcd56a-5e0a-4599-9a53-74fefb7a67c7,,,2019-06-04,,2019-12-25,2020-06-04,2021-06-03,Não Ativo,Não Ativo,-1,18,18,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
fea58e01-e536-419a-91cc-ff3137be4b06,,,2019-12-26,,2020-12-25,2020-12-26,2021-12-25,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
89259a85-32b3-432f-a023-4ae1e419212f,,,2020-12-26,,2021-12-25,2021-12-26,2022-12-25,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
852c9c57-99e6-4dea-9a70-0739eba4f595,,,2021-12-26,,2022-12-25,2022-12-26,2023-12-25,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
2da6f13c-394e-44e5-8015-34dd9963bd91,,,2022-12-26,,2023-12-25,2023-12-26,2024-12-25,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
c86d9c81-1dd0-41ff-8488-1bfa79d1f0c5,,,2023-12-26,,2024-12-25,2024-12-26,2025-12-25,ativo,Não Ativo,20,10,10,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
924e919f-ac0a-47b5-8945-9e1145e2ece2,,,2024-01-02,,2024-12-27,2025-01-02,2026-01-01,Ativo,Não Ativo,-5,35,35,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
965a49a8-7c8e-47d1-8f38-b85c30eeeaa6,,,2021-03-23,,2021-12-21,2022-03-23,2023-03-22,Não Ativo,Não Ativo,-1,23,23,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
da8f0eea-5af8-4cea-a9cf-b4443afca4ec,,,2021-12-22,,2022-12-21,2022-12-22,2023-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
f395049e-45e1-484a-babb-c7eec138bed4,,,2022-12-22,,2023-12-21,2023-12-22,2024-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
8bfc042c-a723-49c9-9a3f-3e7b99a8bffe,,,2023-12-22,,2024-12-21,2024-12-22,2025-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
476dc826-a6c3-4bed-9ad7-06db73accd4b,,,2018-08-07,,2018-12-23,2019-08-07,2020-08-06,Não Ativo,Não Ativo,-2,13,13,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
2bd5f478-461f-4756-9061-5fb777481a18,,,2018-12-24,,2019-12-23,2019-12-24,2020-12-23,ativo,Não Ativo,-1,31,31,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
7b9d1a81-811e-416d-8ef7-a2176fe06a0e,,,2019-12-24,,2020-12-23,2020-12-24,2021-12-23,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
f104e500-76ca-43f1-b9d0-d49763913412,,,2020-12-24,,2021-12-23,2021-12-24,2022-12-23,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
7a2e3c03-fd99-4391-b914-58f80b35afee,,,2021-12-24,,2022-12-23,2022-12-24,2023-12-23,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
57db5ece-73bb-46c9-b85d-407b8404f7ef,,,2022-12-24,,2023-12-23,2023-12-24,2024-12-23,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
a9606118-7dc1-4a76-988a-84688f3408c2,,,2023-12-24,,2024-12-23,2024-12-24,2025-12-23,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
079dc82f-2384-471c-889d-a60a831ee521,,,2019-09-10,,2020-09-09,2020-09-10,2021-09-09,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
8c9ccb08-fc42-4115-9246-2b40c4cfaf76,,,2020-09-10,,2021-09-09,2021-09-10,2022-09-09,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
3ba576ca-efd1-4703-a955-bae17f5ee01f,,,2021-09-10,,2022-09-09,2022-09-10,2023-09-09,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
020f3e16-97dc-4470-a37b-81662425e59b,,,2022-09-10,,2023-09-09,2023-09-10,2024-09-09,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
e2bc1e85-3ef9-4239-ba2d-7203cf6de131,,,2023-09-10,,2024-09-09,2024-09-10,2025-09-09,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
9b3425d8-e843-4e9d-8814-f835919c634a,,,2024-04-16,,2024-12-27,2025-04-16,2026-04-15,Ativo,Não Ativo,0,21,21,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
f93a1e38-569d-42ce-a1b7-b239cd959430,,,2022-04-19,,2023-04-18,2023-04-19,2024-04-18,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
d52cdad8-ec00-4e68-a3f1-e9fc3e251f3a,,,2023-04-19,,2024-04-18,2024-04-19,2025-04-18,ativo,Não Ativo,-29,45,59,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
41859c4f-b448-4aee-a69a-92bd4674b582,,,2021-01-15,,2021-12-21,2022-01-15,2023-01-14,ativo,Não Ativo,2,28,28,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
9256db6f-0d8c-4e00-bc8d-ae39db046f86,,,2021-12-22,,2022-12-21,2022-12-22,2023-12-21,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
e218fc83-cee3-4871-893f-eb080d9b11bf,,,2022-12-22,,2023-12-21,2023-12-22,2024-12-21,ativo,Não Ativo,-14,44,44,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
ea03a417-434b-49d3-aad3-f9494dc2fb9f,,,2023-12-22,,2024-12-21,2024-12-22,2025-12-21,ativo,Não Ativo,20,10,10,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
32d9c2c1-a157-4a6d-9d81-d113cdbbe51b,,,2022-10-14,,2023-10-13,2023-10-14,2024-10-13,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
a738ccb9-7fcf-4317-8487-f9d901a56298,,,2023-10-14,,2024-10-13,2024-10-14,2025-10-13,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
cca96dc3-874d-4e73-8474-d16f23c79076,,,2021-12-07,,2022-12-06,2022-12-07,2023-12-06,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
0182874b-89dd-4a58-8681-5c6bb09e3dcf,,,2022-12-07,,2023-12-06,2023-12-07,2024-12-06,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
1ce242ec-62c0-44e0-993d-a4e634712f4c,,,2023-12-07,,2024-12-06,2024-12-07,2025-12-06,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
5bc4dde6-336e-42da-a62a-61f11e1376f0,,,2022-04-05,,2023-04-04,2023-04-05,2024-04-04,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
1208989e-dfa3-4457-887e-330b4dcda017,,,2023-04-05,,2024-04-04,2024-04-05,2025-04-04,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
b2a63a48-34d8-400c-8aaf-8d35ccc0d325,,,2023-06-05,,,2024-06-05,2025-06-04,Não Ativo,Não Ativo,0,30,30,0,PJ,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
e9c37600-3709-477b-8b75-37ac49a938c8,,,2020-11-24,,2021-11-23,2021-11-24,2022-11-23,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
0bd5a5f4-8e5b-466a-9314-c833369803d8,,,2021-11-24,,2022-12-21,2022-11-24,2023-11-23,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
5abd425a-460f-410a-b5b7-674a1e79b009,,,2022-11-24,,2023-12-21,2023-11-24,2024-11-23,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
54ccfcba-235a-4875-870b-7a04628424ed,,,2023-11-24,,2024-12-21,2024-11-24,2025-11-23,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
7e9e3c8e-a80e-460c-8263-b0a031cfc259,,,2020-08-11,,2020-12-21,2021-08-11,2022-08-10,Não Ativo,Não Ativo,1,10,10,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
30f1c1c9-ecf2-434c-b1e0-58a8153d5c68,,,2020-12-22,,2021-12-21,2021-12-22,2022-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
8b3b2b41-a168-4787-b08a-d1169469685f,,,2021-12-22,,2022-12-21,2022-12-22,2023-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
cb4de34d-a1c7-40c4-addd-439c17c5f39c,,,2022-12-22,,2023-12-21,2023-12-22,2024-12-21,ativo,Não Ativo,-11,41,41,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
3a9cb30d-6dbb-4e1f-a0c0-71e45f9e0b01,,,2023-12-22,,2024-12-21,2024-12-22,2025-12-21,ativo,Não Ativo,0,30,30,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
159c9741-3d1a-48f0-93f6-151e9fbefe0c,,,2024-02-20,,2024-12-27,2025-02-20,2026-02-19,Ativo,Não Ativo,0,25,25,0,CLT,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
c5375373-f16a-4ebe-8843-d38925570c6e,,,2021-01-12,,2021-12-21,2022-01-12,2023-01-11,Não Ativo,Não Ativo,0,28,28,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
43858eb3-9424-480a-a130-425f6e136547,,,2021-12-22,,2022-12-21,2022-12-22,2023-12-21,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
ad5ecf37-7fd0-46bb-9123-8dad1006041e,,,2022-12-22,,2023-12-21,2023-12-22,2024-12-21,ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
7eb0701e-4b88-41f9-b699-d3a4abba8457,,,2023-12-22,,2024-12-21,2024-12-22,2025-12-21,ativo,Não Ativo,30,0,0,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
9d970e31-16e1-46ac-8587-90daa203af21,,,2022-02-08,,2023-02-07,2023-02-08,2024-02-07,Não Ativo,Não Ativo,0,30,30,0,,,2026-03-31T03:22:27+00:00,2026-03-31T03:22:27+00:00
