id,nome,ano,tipo,classificacao,data,data_final,created_at,updated_at
745efb9c-55b4-4651-b7a6-457531d14433,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-07-25,2025-07-25,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
2c41b9cd-7ce9-4680-8871-059cf336e240,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-08-08,2025-08-08,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
b3d31638-c97b-4c0d-a0dd-3e5c4fafab38,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-08-22,2025-08-22,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
7c003d1c-0209-4207-8fd7-ada1dd2a34d4,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-09-05,2025-09-05,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
2889c655-95a7-4a59-9b1d-e0cf08f5a15c,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-09-19,2025-09-19,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
5f9ee22f-0b4e-418e-8a0f-12f3330edbab,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-10-03,2025-10-03,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
c2c06c1f-add4-441a-b74f-e6655a941b56,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-10-17,2025-10-17,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
f6ad4042-3f89-4ef3-913a-0ca9c6804ec8,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-10-31,2025-10-31,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
13548aa3-2b91-4b84-97e1-8059f5c129ec,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-11-14,2025-11-14,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
b002ffa7-27ce-4302-87cd-597f074a83ef,Reunião Geral,2025,Reunião Interna,Reunião Interna,2025-11-28,2025-11-28,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
23c03164-272e-4c7f-a5c2-f11df6e58964,Possível Compensação de Horas/Troca de Feriado,2025,Compensação de horas,Compensação de horas,2025-05-02,2025-05-02,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
b3c3801a-1748-49f2-a36b-f7352287e379,Possível Compensação de Horas/Troca de Feriado,2025,Compensação de horas,Compensação de horas,2025-06-20,2025-06-20,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
63e56896-d613-4092-a831-3ddf27c14dc9,Possível Compensação de Horas/Troca de Feriado,2025,Compensação de horas,Compensação de horas,2025-06-23,2025-06-23,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
be0ba576-c313-466e-a4c9-20d9e3cf52e5,Solicitação de Benefícios,2025,Solicitação de Benefícios,Solicitação de Benefícios,2025-04-02,2025-04-14,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
e30cf136-8836-43af-a462-b3b2008359bc,Solicitação de Benefícios,2025,Solicitação de Benefícios,Solicitação de Benefícios,2025-05-02,2025-05-15,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
fa28da31-666c-4634-b649-118b8d9da9f1,Solicitação de Benefícios,2025,Solicitação de Benefícios,Solicitação de Benefícios,2025-06-02,2025-06-16,2026-03-31T02:49:01+00:00,2026-03-31T02:49:01+00:00
