id,colaborador_profile_id,ciclo,area,status,trofeu_esponja_id,trofeu_saiu_da_caixa_id,trofeu_nao_tem_medo_id,trofeu_cerejinha_id,trofeu_maestria_id,created_at,updated_at
e4a1a855-57e4-4956-9706-424bf9d7050f,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
14c6cd03-fe8d-4d7c-b4c8-fd9bec53c5f8,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
6805db61-2997-498d-b72b-8cb86344c1f8,,,Backoffice,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
2a72c034-859b-49f2-806b-32499ff41a72,,,Backoffice,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
2b1d9ff7-5675-4fa7-b088-c299c086487b,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
a0c45e33-ca6a-4e85-bca3-628a6accbbec,,,,Em branco,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
8d402260-649a-4a9c-bddd-453e8704d888,,,Backoffice,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
628018a3-4798-4653-b782-45e79d20ecc6,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
a898e2d2-a34c-415e-a889-03b3c180190e,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
67f65546-f1fd-48d8-b210-5e36cb84737a,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
1caa12ab-7315-4667-b63a-06d30352d1dd,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
383c760a-2304-4d53-a309-0160e27705cd,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
27b77d28-4210-4c54-93a1-92e4b89d3193,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
e85c41c6-f73e-442a-a78d-f406c5334276,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
51b60d74-b9a5-47ec-bde0-65719893ae72,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
813af843-f421-42c9-b5c9-d9d5a8ede8c4,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
a5fe8c9e-5d68-41f8-b7ad-6ced39440873,,,,Em branco,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
0edf4279-f724-4e93-85bd-b5de59157445,,,DevOps,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
dfc528ce-e205-40ca-b59a-77f12751e814,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
166d524f-5de8-458d-9760-c07af4d97976,,,,Em branco,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
0b72bc60-96fe-4c54-b96b-230fee84c42c,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
23cd53c8-f0fe-4c3e-b91e-e2bbd10124ce,,,,Em branco,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
e276a828-c69b-4543-a29a-3bf5274b2b11,,,Backoffice,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
fb461f5c-97d2-4342-a112-c8f24484304b,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
7a8d5011-dec9-4951-b3fa-dfabc2f2182f,,,Backoffice,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
7667f5a4-5006-47fd-bfc0-131af0839398,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
a55d0417-c6c4-4810-a393-149ff9730a24,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
6ee47a98-e801-4bfd-affa-5f1b59716684,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
947a60ec-b628-4b2b-9ecd-e96c4fe0dc1f,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
d44525f8-6c3d-49ff-a663-3fcc222f79a5,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
7733b148-ce8e-45b9-9cdf-9f98b5e596cb,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
42d7103d-65f9-4f40-8499-d52aca714cf8,,,DevOps,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
c52a2256-1cdd-4d54-a817-94495c231524,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
439c5623-6fca-40ce-ab1c-a3c68edcfc51,,,Backoffice,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
eb78b7db-aa3b-4326-a435-318459a1cbc4,,,Operações ,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
6e392250-3221-4ffc-95be-8583b39552c7,,,Backoffice,Respondido,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
