id,colaborador_profile_id,ciclo,status,sentimentos,nota_pre_plan,nota_brindes,nota_retrospectivas,nota_alinhamento,nota_mini_pitch,nota_momentos_finais,feedback_geral,created_at,updated_at
e242d9e6-96e1-4853-a76c-53b4e4451db1,,,Respondido,,4,5,4,5,4,4,"Gostei muito do plano deste ano. Fazer tudo em um único dia foi uma ótima decisão, porque as informações ficaram mais organizadas e claras. Se fossem dois dias, acho que poderia ter ficado mais confuso. Foi direto ao ponto e objetivo.
Também achei muito legal a transparência da Cubos em mostrar onde quer chegar e quais são os objetivos para isso. É bacana ver como a empresa é aberta com a gente, principalmente em eventos assim.
No geral, foi ótimo e bem organizado!",2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
f99a82ef-7aeb-4419-8fdb-31a8b00f7f13,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
57496366-5ca5-481e-9f5b-c78e913d1e2c,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
321fab19-a6e0-4c82-99ed-6a214bd66430,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
871027fd-b996-43b1-b359-9745866dcb8c,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
d4710a19-f4ba-4846-90fc-e0c287182856,,,Respondido,,5,5,5,5,2,5,Nao,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
fe37a774-8bd1-4140-bcb7-8184dd808b9d,,,Respondido,,4,5,4,5,5,4,Não ,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
dcab563d-659e-4a4c-aabd-21faac1f1f18,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
78aa8929-9ce5-47d3-ae76-c086870529ef,,,Respondido,,5,5,5,5,5,5,"Foi otimo, o fato de ser apenas um unico dia e ter dado pra mostrar bastante coisa foi otimo tbm! A parte do q se espera pra 2025 foi a melhor",2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
63464384-f9ba-46b9-86d1-f95f0c0cae1d,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
0275e0ae-b2af-4cfa-b5b1-fda31f9fbbde,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
00ea08c9-bb4d-47a2-858f-ee4fcae94ad7,,,Respondido,,5,4,5,5,3,5,"Show, um verdadeiro espetáculo",2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
05df0f75-bfe9-4bb9-b0c5-331780463ea0,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
83043c9c-6421-44e8-9c00-f1f2d59071d7,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
22da4319-27a8-49be-bff3-71167e4dac34,,,Respondido,,4,5,5,4,4,5,Não,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
59b03032-4527-4e8a-a01f-3a2e7d942356,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
b6136b4b-e8cf-4c01-9487-4c778f4e1ede,,,Respondido,,5,5,5,5,5,5,"tudo muito bem organizado, foi uma experiência muito boa",2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
b2c5dd5b-bcb1-4023-99a6-7110ad583a98,,,Respondido,,4,3,5,5,3,5,-,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
fda36236-09e6-4401-bfa9-5e0714761e29,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
0c46c083-df73-450d-af9d-bcb09d847b73,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
2b5ac1e1-bcc6-4d90-a008-1c0c4a6dc7f1,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
62a8205c-7b9c-495c-9ecb-7ee2cd54afd9,,,Respondido,,3,4,4,4,2,4,Não,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
4de8e86c-ecd3-45f9-913f-e1fadf649aec,,,Respondido,,5,4,5,4,5,5,não,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
6066f2d2-39e7-487d-8149-66bf74264ccb,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
b83c48bb-6433-4d03-9392-b63d5e3b2545,,,Respondido,,5,4,5,5,3,5,"Eu gostei bastante do modelo de um dia apenas, de forma direta e descontraída a visao do ano foi passada e o objetivo traçado",2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
4779f97a-8e8b-4c63-a3e6-509f78de5209,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
b78d05e3-4fd3-400b-9c1d-81453d444595,,,Respondido,,5,5,5,5,5,5,-,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
7b189c9a-d146-4bf8-8178-6aeca0f2d5bf,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
a90a3a43-9695-45de-8676-051f343714f5,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
26f1b84f-7960-46ee-927f-4fdadb46071a,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
d70d77b0-344c-48f7-893a-1c8bf4e78353,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
ceff3748-c1ce-44b2-ba37-4d9236c28541,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
62d090c3-c3dd-41fb-9893-6658e1834c14,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
430f1e61-0048-4da7-ac2e-700c9b257e8b,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
a1298658-78bd-4fcf-b4ff-cc006128c4df,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
93c667b5-7c68-44a6-9339-1f7d067e8cd5,,,Respondido,,2,4,4,3,1,3,-,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
cca2f32d-bdf5-4c72-812e-28b727716f2d,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
8779ce96-1095-4431-9b68-a3cb2a9e0fa5,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
b4ad1277-bd55-4e33-8835-3851c08c4322,,,Em branco,,,,,,,,,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
c1b90732-f5d6-4834-9826-886f557c761e,,,Respondido,,5,5,5,5,5,5,-,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
da375b9e-fad1-4d52-9982-97520eb9047f,,,Respondido,,5,5,4,5,4,5,"gostei bastante de ser somente um dia, mais curto e direto.",2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
0f5d0c3a-7c70-424f-a2f3-46b701a25339,,,Respondido,,4,5,5,5,4,5,-,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
6be161a9-5acf-41ff-ae68-9fbf4087c8f0,,,Respondido,,5,4,5,5,5,5,Não,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
74113f58-7714-4fa9-a1f7-486b83e8cfb8,,,Respondido,,5,5,5,5,5,5,não,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
8c0a111d-5188-4b14-8db6-2d1d1bb5e55d,,,Respondido,,4,4,4,5,4,5,.,2026-03-31T03:51:32+00:00,2026-03-31T03:51:32+00:00
