id,pessoa_id,data_inicio_aquisitivo,data_fim_aquisitivo,data_inicio_concessivo,data_fim_concessivo,situacao_periodo,quantidade_dias_adquiridos,created_at,updated_at
e11c71d2-d0d2-4a89-9916-0dc30ec37900,,2024-04-15,2025-04-14,2025-04-15,2026-04-14,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
3a2f5b3b-422e-47db-a2c6-c8168bf109bb,,2024-05-16,2025-05-15,2025-05-16,2026-05-15,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
3a2930af-5a6c-44b2-a1b8-230e6c271c06,,2024-10-07,2025-10-06,2025-10-07,2026-10-06,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
603156cd-3422-4986-bbd3-dc361802bbcf,,2024-09-16,2025-09-15,2025-09-16,2026-09-15,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
0400a9eb-916b-4166-877d-036edc204666,,2023-12-19,2024-12-18,2024-12-19,2025-12-18,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
7d86a411-ead6-4cdf-87ae-3da6cb7fb68a,,2024-03-19,2025-03-18,2025-03-19,2026-03-18,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
11b3c752-c051-494d-852a-15a7005dcd04,,2025-05-05,2026-05-04,2026-05-05,2027-05-04,Futuro,27,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
8f42d93c-6009-4566-ba05-b116e45438ca,,2024-08-20,2025-08-19,2025-08-20,2026-08-19,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
1e8c3e08-32a5-44c1-a6c7-c78ee2935d4f,,2023-09-29,2024-09-28,2024-09-29,2025-09-28,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
dc3056b0-fecd-46a9-94d3-5f9952917425,,2024-09-28,2025-09-27,2025-09-28,2026-09-27,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
033701bd-cee5-4910-9bb9-8e4b4211730b,,2023-03-22,2024-03-21,2024-03-22,2025-03-21,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
3d72eac0-9d6c-44a2-bcc9-3311ae590041,,2024-03-21,2025-03-20,2025-03-21,2026-03-20,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
f8d1d112-1693-48c4-8a06-45393052804c,,2024-09-17,2025-09-16,2025-09-17,2026-09-16,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
7befc4b7-5034-40e5-9354-e13f42ef0a7d,,2023-11-01,2024-10-31,2024-11-01,2025-10-31,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
27482dd1-2719-4a7b-bb9e-0b449e3b1209,,2024-11-11,2025-11-10,2025-11-11,2026-11-10,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
9021ef20-dc07-4fd6-8b3f-f4336ed109a1,,2024-11-04,2025-11-03,2025-11-04,2026-11-03,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
b56df8f7-2bbd-41cc-8be1-a75d65075c4b,,2024-11-20,2025-11-19,2025-11-20,2026-11-19,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
4a8b7191-1c88-4b50-a0f4-791718d22361,,2021-05-06,2022-05-05,2022-05-06,2023-05-05,Historico,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
f1601840-7a77-4f3c-982c-518c318b045b,,2024-07-24,2025-07-23,2025-07-24,2026-07-23,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
2d393634-6e99-4b46-8009-93693b0d2f3a,,2024-12-18,2025-12-17,2025-12-18,2026-12-17,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
d93b1ed0-cc07-4142-ba0e-9da4cb22dd1f,,2025-01-02,2026-01-01,2026-01-02,2027-01-01,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
f2f56d75-67de-4e14-a329-81985a8badee,,2025-01-21,2026-01-20,2026-01-21,2027-01-20,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
40614b3b-e818-44e1-a8ad-77dc3e0437d6,,2025-02-25,2026-02-24,2026-02-25,2027-02-24,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
004ada3e-9fe2-4bb3-925a-8d839118432e,,2025-03-18,2026-03-17,2026-03-18,2027-03-17,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
04e805eb-757e-49d6-8406-172c1829a232,,2025-03-31,2026-03-30,2026-03-31,2027-03-30,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
c935701e-b246-47ae-829c-da87ea770626,,2025-04-07,2026-04-06,2026-04-07,2027-04-06,Futuro,29,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
0a34addf-e76a-42df-9974-a3a17d554fd1,,2025-04-16,2026-04-15,2026-04-16,2027-04-15,Futuro,29,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
841945b9-8fd3-4f33-9b39-4f2c395ec2a9,,2025-04-21,2026-04-20,2026-04-21,2027-04-20,Futuro,28,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
5298842c-0432-4b5f-a455-d0213ce204fe,,2025-05-07,2026-05-06,2026-05-07,2027-05-06,Futuro,27,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
4ec1ef98-92fe-472b-8fb5-5775ad1f4289,,2025-05-13,2026-05-12,2026-05-13,2027-05-12,Futuro,26,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
f894aff6-285d-4edc-841c-f13aba0f46f3,,2025-05-15,2026-05-14,2026-05-15,2027-05-14,Futuro,26,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
7162e83a-4f53-4208-9bbc-f806f661204b,,2025-05-19,2026-05-18,2026-05-19,2027-05-18,Futuro,26,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
1be01771-0d13-4311-9e1b-b1ccbb5c3475,,2025-05-22,2026-05-21,2026-05-22,2027-05-21,Futuro,26,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
e3a308d3-6376-4f65-bf28-ea4f28f751c5,,2025-07-23,2026-07-22,2026-07-23,2027-07-22,Futuro,20,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
e829d2b8-be83-400e-9f04-e1f390d3f3ee,,2025-08-18,2026-08-17,2026-08-18,2027-08-17,Futuro,18,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
364aa6d7-b0d3-400d-a0ca-c6ea72b185fd,,2025-08-19,2026-08-18,2026-08-19,2027-08-18,Futuro,18,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
3f729777-f44e-44ab-a67a-43b3a80a1f9a,,2025-09-01,2026-08-31,2026-09-01,2027-08-31,Futuro,17,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
1558c557-afc4-41c8-abd2-74c4fd720a93,,2025-09-08,2026-09-07,2026-09-08,2027-09-07,Futuro,17,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
8c953770-2aa9-4bf0-86e5-7fbe2971a0ea,,2025-09-09,2026-09-08,2026-09-09,2027-09-08,Futuro,16,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
8719672d-656b-4c72-b84f-03137af0a31a,,2025-09-15,2026-09-14,2026-09-15,2027-09-14,Futuro,16,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
37b34c02-b9d1-4d8a-978e-630020f5e386,,2025-09-27,2026-09-26,2026-09-27,2027-09-26,Futuro,15,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
b0b304ce-b939-44b1-a7a7-5df19ae4941e,,2025-10-06,2026-10-05,2026-10-06,2027-10-05,Futuro,14,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
7d2aeaa4-3d36-463f-ae1f-cd53b3e2bf69,,2025-10-13,2026-10-12,2026-10-13,2027-10-12,Futuro,14,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
b250e907-7379-4a33-95ec-23dab049c45c,,2025-11-03,2026-11-02,2026-11-03,2027-11-02,Futuro,12,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
bbbb6853-1d27-429c-9fad-a35cc50a19c8,,2025-10-01,2026-09-30,2026-10-01,2027-09-30,Futuro,15,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
65e8cfc1-8055-4cf1-b578-60bb8d4ce28d,,2025-11-17,2026-11-16,2026-11-17,2027-11-16,Futuro,11,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
65d5e112-af97-4125-bdd2-62021abc00f4,,2025-11-21,2026-11-20,2026-11-21,2027-11-20,Futuro,10,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
35544d62-d7b5-4898-a7ea-590019bdd875,,2025-11-24,2026-11-23,2026-11-24,2027-11-23,Futuro,10,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
54172e1d-51f8-4219-a340-c4a98f90d2a6,,2024-10-31,2025-10-30,2025-10-31,2026-10-30,Ativo,30,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
8d9dcaa7-eb39-4466-afa5-a0d3777b4f45,,2025-10-31,2026-10-30,2026-10-31,2027-10-30,Futuro,12,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
fe472a9a-1d16-4531-bd36-d8aee917d2a6,,2025-12-29,2026-12-28,2026-12-29,2027-12-28,Futuro,7,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
4dd4b8db-4d6c-4686-98f1-5f90da85a302,,2026-01-01,2026-12-31,2027-01-01,2027-12-31,Futuro,7,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
afde872b-c509-4dc7-827a-f4f4c9f2cbfa,,2026-03-17,2027-03-16,2027-03-17,2028-03-16,Futuro,1,2026-04-01T02:44:56+00:00,2026-04-01T02:44:56+00:00
