id,pessoa_id,contrato_id,periodo_aquisitivo_id,periodo_inicio,periodo_fim,duracao_dias,valor_recesso,mes_ano_referencia,status,observacoes,comentario_gestor,comentario_rh,aprovado_gestor_em,aprovado_rh_em,created_at,updated_at,pagamento_gerado,motivo_reprovacao
7e30b535-52c7-4a77-afdc-46f56dd24449,ee574932-0de9-4a5f-8548-fa9fd96f65df,,80b69bc1-2371-48dd-aeca-148558c5e6b3,2022-12-08,2022-12-22,15,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
d6712786-3e4b-4456-bcbf-58044c272a42,5dcd1ae2-6f3e-4eaa-9b90-087113080b3b,,,2023-01-02,2023-01-13,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
9ca060f7-6298-4f09-9fc2-e4fd6d2b3e11,4c6affb4-80ae-4e55-8af2-992e5286f5db,,,2023-01-30,2023-02-10,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
c8c3b6ea-9b9e-4e9e-85c1-787fa58c06a6,2a7d19ff-e42e-4b32-bb18-a5a79492e2e2,,,2023-01-23,2023-02-05,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
1518ff1c-0c99-4517-8424-0e14f2cd2656,69d0fda6-6881-4121-a3d9-1acab618f624,,,2022-11-09,2022-11-24,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
c7bf2d70-a6a4-4791-8f18-3bf729b2984a,bb243bda-9fe2-4512-a21d-6dbb3e804550,,,2022-12-05,2022-12-09,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
bfe1a758-02b6-4b52-b9fb-dbbb5c6c7077,0b913415-6129-4198-b318-b7023d2acea7,,,2022-09-19,2022-09-28,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
f7a86b0e-e9a8-4014-9b1b-dca556821147,46d0df03-7246-4ce4-9ee3-821d15001e50,,,2022-10-24,2022-11-06,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
808c3c75-8e48-40e5-bb7f-518355e79e60,41454eb0-552c-4415-93e6-68188fc329e2,,,2022-05-25,2022-05-29,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
f62a9166-4f38-4a28-835d-4d7664e0e2ef,41454eb0-552c-4415-93e6-68188fc329e2,,,2022-09-05,2022-09-09,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
e1b82131-e22a-4b77-a836-f9cb7ca39a1e,4d96b3db-87f8-4d6b-961d-46443b683f4c,,,2022-09-26,2022-10-04,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
cd320491-cb2b-4e42-83cc-9f89c5e480c0,5dcd1ae2-6f3e-4eaa-9b90-087113080b3b,,,2022-07-11,2022-07-24,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
f943680b-d2cc-481b-981b-c016869e38ce,336f3a47-d234-4eac-bd72-ed4160eeb8ac,,,2022-08-01,2022-08-14,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
bf10e9f6-4169-40f6-9c71-25a1d005fb8d,d7e11fb8-4a8e-4d17-bafc-3e77bfc55ad3,,,2022-10-17,2022-11-01,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
08e51acc-d9c4-4def-8265-d4b0f218f39b,122ea9d9-0e7b-4229-b5dc-9f5bb6727672,,,2022-08-15,2022-08-26,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
f0eeb3e4-c1b7-433e-91d2-06ef2a50f820,455db50c-aacf-4dfc-96a4-93ff2140370a,,,2022-07-04,2022-07-15,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
007e7218-96c2-4c1b-80c2-bd7bc8c6b580,54b2a4bd-d082-4c9a-8916-8eccc3b6b2ec,,,2022-06-20,2022-07-04,15,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
e1e949db-c95c-42c0-9f92-db6dc98a4cee,69d0fda6-6881-4121-a3d9-1acab618f624,,,2022-05-23,2022-05-29,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
86ff1b44-295f-4c39-aea0-4efc32475080,69d0fda6-6881-4121-a3d9-1acab618f624,,,2022-05-02,2022-05-08,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
7d48d939-b90b-4fba-a99c-8a7c92307b4f,41454eb0-552c-4415-93e6-68188fc329e2,,,2021-11-03,2021-11-07,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
46e8886f-acd1-4b9d-93f6-92c1759a3f6f,46d0df03-7246-4ce4-9ee3-821d15001e50,,,2022-03-28,2022-04-03,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
e3d00d1c-5b7d-4fc1-8800-135c036e199e,a0444794-3dea-4d85-8b78-76b8875ce91f,,,2022-02-02,2022-02-16,15,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
fa5af55d-effb-4908-8704-89a982e44996,122ea9d9-0e7b-4229-b5dc-9f5bb6727672,,,2022-02-21,2022-03-08,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
d5351324-48e3-441b-92da-964a0aae5a08,2a7d19ff-e42e-4b32-bb18-a5a79492e2e2,,,2022-04-05,2022-04-20,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
ee75ef1f-b283-45ef-bdc7-a78d90b7bcde,5dcd1ae2-6f3e-4eaa-9b90-087113080b3b,,,2021-12-20,2021-12-23,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
9ffe29d9-97ad-40d0-bd3b-403d9ed12627,30a362ef-9f3d-4d53-b76d-09f3d29b002e,,,2021-10-11,2021-10-17,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
5e98e160-290f-4923-9318-8c279b4be699,41454eb0-552c-4415-93e6-68188fc329e2,,,2023-05-02,2023-05-12,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
cdb7e03c-3b60-4566-b513-0cf00299740f,4d96b3db-87f8-4d6b-961d-46443b683f4c,,,2023-05-02,2023-05-16,15,,,Aprovado_Gestor,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
335e5d6b-92c5-4932-b7a4-66e6f4db43c7,d7e11fb8-4a8e-4d17-bafc-3e77bfc55ad3,,,2023-05-18,2023-05-31,,,,Aprovado_Gestor,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
439ab73d-f9e2-44aa-ab7a-52132b8264de,46d0df03-7246-4ce4-9ee3-821d15001e50,,,2023-05-30,2023-06-14,,,,Aprovado_Gestor,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
d967c5bf-590d-46c0-96dc-10f435df2b55,d7e11fb8-4a8e-4d17-bafc-3e77bfc55ad3,,,2023-06-01,2023-06-07,,,,Aprovado_Gestor,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
2fb8fab3-e5be-40bd-a595-16ac51153d7c,2be23925-ff1d-4489-a15c-682eb14131a5,,111e1da3-eaae-4041-b03d-bea16eec1f42,2023-06-12,2023-06-16,,,,Aprovado_Gestor,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
81d79630-a470-4a01-aff2-1d1fb0190212,336f3a47-d234-4eac-bd72-ed4160eeb8ac,,,2023-06-19,2023-07-03,15,,,Aprovado_Gestor,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
2ea35dd4-e9c1-45c8-ae83-eb0244496266,0b913415-6129-4198-b318-b7023d2acea7,,,2023-05-22,2023-06-10,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
fd0f3ef0-5fec-4064-8a63-841accba8cb3,6c5cf7e4-cd3b-4887-a130-8d66664d6cbc,,,2023-10-31,2023-11-29,30,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
3e645956-e976-4c5f-8a58-b51bfffd5bb1,7cac2d41-b8a9-4b3a-8ac4-93b861344e8e,,,2023-05-08,2023-05-14,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
f0671eca-45f6-4d71-8581-4a2883e89ba6,13faac90-46f8-4a3b-a248-74d95fff3c77,,,2023-01-02,2023-01-16,15,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
fa947183-187b-47b7-84be-8554f8b8d079,1391c1da-9d8f-4fcc-8156-00cd00504ff3,,,2023-07-10,2023-07-28,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
5ea985e6-9d46-4056-8bfa-93fc898d24cb,b659848b-7655-47cd-a25b-15cc5b085860,,4b83f62b-7ff4-49c0-9608-a3ae154f058b,2023-04-24,2023-04-28,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
e7d9f136-a230-4de1-8098-b7d14edfdaff,b659848b-7655-47cd-a25b-15cc5b085860,,,2023-04-14,2023-04-14,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
e28e8766-54fc-43ff-bfc8-a3574fcacaae,b659848b-7655-47cd-a25b-15cc5b085860,,,2023-05-19,2023-05-19,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
6709644c-4da1-4ddd-b27e-a84e3ca69cae,4bc0ce79-c62e-47cc-8aad-da862f2cf10d,,e0b539c8-4b7c-4dd4-890c-2af126a03968,2023-01-25,2023-01-25,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
0d614df3-c67c-422a-9e46-bed99b2c6870,4bc0ce79-c62e-47cc-8aad-da862f2cf10d,,e0b539c8-4b7c-4dd4-890c-2af126a03968,2023-02-22,2023-02-22,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
a50429e7-0045-4ad5-99a7-6c7be9c63afa,51475395-84a5-48a1-9c77-b7e115df6af3,,,2023-05-12,2023-05-12,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
2b7f1b1b-a303-4f9f-9107-98cfca61a92c,b755ec89-0784-400e-9de6-1906b531622e,,,2023-09-04,2023-09-08,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
4ed7a710-aa26-45f2-a9a9-f521aa3931f2,b755ec89-0784-400e-9de6-1906b531622e,,12b4f16d-6c6e-4df5-b800-1119a2842857,2023-09-01,2023-09-01,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
7ce3b788-1c73-469a-b1d9-239863210a19,ce9a43b6-8bd7-48f2-9548-617d150fd029,,,2023-05-19,2023-05-19,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
d98392f5-39a9-4357-a6c4-ef0c7133bdd7,,,,2023-02-20,,,,,Pendente,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
34e7e8ab-1f83-4c4f-9450-1dee72405e02,b6bfcc75-2e77-4c8b-ba8b-26cd74ee85d1,,c3b52257-50c1-4d94-995d-c4ebf256a1a1,2023-05-30,2023-05-30,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
e7fc7a73-c687-4eef-989f-13811c505f07,ce9a43b6-8bd7-48f2-9548-617d150fd029,,,2023-07-17,2023-07-17,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
8295a544-5d49-42f1-99ed-ae19f1c13c83,b6bfcc75-2e77-4c8b-ba8b-26cd74ee85d1,,c3b52257-50c1-4d94-995d-c4ebf256a1a1,2023-02-20,2023-02-20,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
1b8cd670-d016-447e-94a3-81b3f145cec1,b6bfcc75-2e77-4c8b-ba8b-26cd74ee85d1,,,2023-09-11,2023-09-15,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
fb97c9ac-3837-4db5-ba41-858484398d6e,b6bfcc75-2e77-4c8b-ba8b-26cd74ee85d1,,c3b52257-50c1-4d94-995d-c4ebf256a1a1,2023-09-08,2023-09-08,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
17c2a591-7bc4-4da8-8e5a-571c2438bae9,,,,2023-05-22,,,,,Pendente,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
66920e9c-df40-4292-a321-7e29e5c29c64,260c92dc-11b4-4d4e-bb75-3244098db853,,6ed8148f-3d5c-431d-9e4f-bf89b37ad6d9,2023-03-10,2023-03-10,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
cc8e56f0-cc50-4014-83d5-9c1364f0280b,88d62716-6476-48b0-9ded-1de427df566e,,f280e401-d018-4030-bf82-ef6d6e1a0d80,2023-04-27,2023-04-27,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
ee7cf7e5-fa8d-4b74-9ead-14b4d2265b60,88d62716-6476-48b0-9ded-1de427df566e,,f280e401-d018-4030-bf82-ef6d6e1a0d80,2023-04-28,2023-04-28,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
0b860960-e553-43fa-be8c-7a0371ca3170,ae1d495a-c300-4ac7-8050-ec83ee09419e,,c2f05fd2-8306-4026-8678-3112727bb67c,2023-03-09,2023-03-09,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
b7a5b68b-ec36-4073-bbe5-c04275a46bdf,ae1d495a-c300-4ac7-8050-ec83ee09419e,,c2f05fd2-8306-4026-8678-3112727bb67c,2023-05-12,2023-05-12,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
fa680e51-b364-46bf-a564-bb9b411c59dc,ae1d495a-c300-4ac7-8050-ec83ee09419e,,,2023-07-24,2023-07-28,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
7ea17227-94e9-45e5-878e-2e3ae29d80c6,e8b3b1f8-4943-435e-b3b6-0278dd24ce9f,,2bac6d9c-da1d-49bc-bb53-48c612dcbf69,2023-05-12,2023-05-12,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
d43c6533-27dc-48d8-93b0-7ba88e403664,122ea9d9-0e7b-4229-b5dc-9f5bb6727672,,5367ed1b-8146-45f1-a85d-93ee68b9bfda,2023-01-02,2023-01-02,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
80e5a70d-2996-4421-bae1-5abbfc2db993,122ea9d9-0e7b-4229-b5dc-9f5bb6727672,,5367ed1b-8146-45f1-a85d-93ee68b9bfda,2023-01-20,2023-01-20,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
29197c2d-752d-4222-885b-f9ed48114fe0,122ea9d9-0e7b-4229-b5dc-9f5bb6727672,,5367ed1b-8146-45f1-a85d-93ee68b9bfda,2021-02-15,2021-02-15,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
6351d61a-dbb9-4217-81bc-77236031f05f,122ea9d9-0e7b-4229-b5dc-9f5bb6727672,,5367ed1b-8146-45f1-a85d-93ee68b9bfda,2021-02-16,2021-02-16,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
9187b5c8-ca20-4eee-87be-66e620ce9f86,3a8a88b7-3c62-4678-b293-bb998549e216,,a6e5e0e7-7be6-4d48-b7bd-38e605548f5b,2023-05-05,2023-05-05,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
a4c22963-a584-444a-a016-8a0f4d6eb164,3a8a88b7-3c62-4678-b293-bb998549e216,,a6e5e0e7-7be6-4d48-b7bd-38e605548f5b,2023-06-09,2023-06-09,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
b8fdd549-b774-41b7-b3a5-076ab7ce6b7d,fa2bbe5c-04e9-4203-8969-47d0893925e2,,,2023-02-28,2023-02-28,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
739a0b8a-d78c-4a5d-a75e-25dec7edb358,fa2bbe5c-04e9-4203-8969-47d0893925e2,,,2023-05-02,2023-05-02,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
455e0355-5664-4eb7-bf59-d2eae03b95f7,fa2bbe5c-04e9-4203-8969-47d0893925e2,,,2023-06-15,2023-06-15,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
a9178b08-2fc3-4ccd-9d45-32e4825ea409,cacbda5e-7400-45ba-a959-097d74d7866c,,,2023-08-14,2023-08-29,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
4ccb1a23-0969-4ab3-bf94-24492756fe76,cacbda5e-7400-45ba-a959-097d74d7866c,,f4bb7a6e-5651-4383-ac3c-4496fad1d585,2023-05-19,2023-05-19,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
8b03b35c-dca1-4f7a-952c-e41aba3cb852,b6bfcc75-2e77-4c8b-ba8b-26cd74ee85d1,,c3b52257-50c1-4d94-995d-c4ebf256a1a1,2023-03-31,2023-03-31,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
6a3ecea1-1f77-4ac2-b2ea-ea23a2e5e0d4,455db50c-aacf-4dfc-96a4-93ff2140370a,,dad3b579-3e84-4e76-8572-e0f38e511e6d,2024-01-02,2024-01-18,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
3c0334fe-bba7-4cb2-8333-c561dad4ced6,212080dd-bf5b-40ce-a000-a379bcbe2073,,6689ba99-1ae8-4a8b-b17d-8e0c44908f59,2023-01-11,2023-01-11,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
d1a7f78f-fe87-4cfd-b9d1-480e03c64a07,30a362ef-9f3d-4d53-b76d-09f3d29b002e,,ff19dc10-8208-4a21-9a4d-e642bf255309,2023-06-19,2023-06-23,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
ad4b09ae-aed0-4593-b068-660119f42c44,212080dd-bf5b-40ce-a000-a379bcbe2073,,6689ba99-1ae8-4a8b-b17d-8e0c44908f59,2023-01-23,2023-01-23,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
31c8adde-107b-47be-9e64-70ba9ac5e6eb,2be23925-ff1d-4489-a15c-682eb14131a5,,111e1da3-eaae-4041-b03d-bea16eec1f42,2023-04-03,2023-04-06,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
00789bbc-01d2-4b13-a1b9-660b27a773a4,212080dd-bf5b-40ce-a000-a379bcbe2073,,6689ba99-1ae8-4a8b-b17d-8e0c44908f59,2023-02-28,2023-02-28,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
4e9cb1ad-e5b8-42b8-b8f2-a742f3bc724b,212080dd-bf5b-40ce-a000-a379bcbe2073,,6689ba99-1ae8-4a8b-b17d-8e0c44908f59,2023-03-03,2023-03-03,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
a77b6b9d-d85e-45f7-93e5-18d528bc66c6,212080dd-bf5b-40ce-a000-a379bcbe2073,,6689ba99-1ae8-4a8b-b17d-8e0c44908f59,2023-04-20,2023-04-20,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
a2ec2e44-96af-4b61-b1ab-8db6432907b8,30a362ef-9f3d-4d53-b76d-09f3d29b002e,,ff19dc10-8208-4a21-9a4d-e642bf255309,2023-02-23,2023-03-03,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
acb1cfa1-2238-4714-a2ab-26fbcbb26be3,a928eeba-0f50-433e-a46a-8c8d36515fb1,,a0803af9-930c-4398-92ab-7b8c930a2f14,2023-03-01,2023-03-01,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
36a3e2e8-a1da-453a-9748-7ad36b015fc0,2be23925-ff1d-4489-a15c-682eb14131a5,,127fb456-cd86-42fc-99f7-4ca0d5f87069,2023-05-05,2023-05-05,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
d32a3a8d-ce98-4780-b361-036f87756689,,,,2023-05-08,,,,,Pendente,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
2f0a3255-8e05-471d-bb31-9d69b29cb879,a928eeba-0f50-433e-a46a-8c8d36515fb1,,a0803af9-930c-4398-92ab-7b8c930a2f14,2023-06-09,2023-06-09,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
8fe260f3-839a-4c80-ab74-dfeae32a8c0d,2be23925-ff1d-4489-a15c-682eb14131a5,,127fb456-cd86-42fc-99f7-4ca0d5f87069,2023-05-08,2023-05-08,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
7203d4d1-37c1-4239-a9d3-e93cf7c9f113,2be23925-ff1d-4489-a15c-682eb14131a5,,127fb456-cd86-42fc-99f7-4ca0d5f87069,2023-05-09,2023-05-09,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
005cf448-7e09-4dc1-b831-380d5162397a,2be23925-ff1d-4489-a15c-682eb14131a5,,127fb456-cd86-42fc-99f7-4ca0d5f87069,2023-03-30,2023-03-30,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
591b75d8-d395-4c3a-890c-5468e200cf26,30a362ef-9f3d-4d53-b76d-09f3d29b002e,,a75ac1e2-c8c0-402f-a10d-c5196156bb5e,2022-11-21,2022-11-25,,,,Aprovado_RH,,,,,,2026-03-30T19:04:52+00:00,2026-03-30T19:04:52+00:00,false,
